name,busmap
relation/18396881-380,AT1 0
virtual_way/103401937:1-380,AT1 0
virtual_way/1203265439:1-380,AT1 0
virtual_way/26971631:0-220,AT1 0
virtual_way/28457294:1-380,AT1 0
virtual_way/28458149:0-380,AT1 0
virtual_way/42412115:1-220,AT1 0
virtual_way/763416490:0-380,AT1 0
virtual_way/796517281:1-380,AT1 0
virtual_way/82745755:0-220,AT1 0
virtual_way/83742802:1-380,AT1 0
virtual_way/83947313:1-380,AT1 0
virtual_way/84998489:0-220,AT1 0
virtual_way/951818305:1-380,AT1 0
virtual_way/95863557:a:0-220,AT1 0
virtual_way/99720896:0-380,AT1 0
way/1047447425-220,AT1 0
way/105065132-220,AT1 0
way/1051033055-220,AT1 0
way/107248400-380,AT1 0
way/118060597-380,AT1 0
way/119489306-400,AT1 0
way/1203160522-220,AT1 0
way/134565164-380,AT1 0
way/138407040-380,AT1 0
way/145583866-220,AT1 0
way/152245073-220,AT1 0
way/156973414-220,AT1 0
way/162826525-220,AT1 0
way/180468540-220,AT1 0
way/210191809-220,AT1 0
way/24253250-220,AT1 0
way/24768685-220,AT1 0
way/27673934-380,AT1 0
way/27763479-220,AT1 0
way/27795895-220,AT1 0
way/291703253-220,AT1 0
way/30042006-380,AT1 0
way/30076588-220,AT1 0
way/318616912-380,AT1 0
way/38868243-380,AT1 0
way/50650855-220,AT1 0
way/59531071-220,AT1 0
way/603139216-220,AT1 0
way/61108302-220,AT1 0
way/636620861-380,AT1 0
way/694695942-380,AT1 0
way/727225348-220,AT1 0
way/765101679-220,AT1 0
way/81684898-380,AT1 0
way/83529203-220,AT1 0
way/83740194-380,AT1 0
way/83742801-380,AT1 0
way/84789829-220,AT1 0
way/852324809-220,AT1 0
way/86119428-220,AT1 0
way/88680218-220,AT1 0
way/89451551-220,AT1 0
way/89985993-220,AT1 0
way/93077882-220,AT1 0
way/943595603-220,AT1 0
way/95812231-220,AT1 0
way/96616299-220,AT1 0
relation/7578992-220,BE1 0
virtual_relation/10670456:0-380,BE1 0
virtual_relation/9036573:0-225,BE1 0
virtual_way/147686438:0-380,BE1 0
virtual_way/16119536:0-380,BE1 0
virtual_way/161225685:a:1-220,BE1 0
virtual_way/161469069:0-380,BE1 0
virtual_way/161479351:0-380,BE1 0
virtual_way/23141413:0-380,BE1 0
virtual_way/48520916:1-380,BE1 0
virtual_way/87772589:0-380,BE1 0
virtual_way/91752659:1-220,BE1 0
way/1001478336-220,BE1 0
way/103041283-220,BE1 0
way/114082368-220,BE1 0
way/121085952-220,BE1 0
way/124703985-380,BE1 0
way/16584741-380,BE1 0
way/19783816-380,BE1 0
way/204940265-220,BE1 0
way/23136343-380,BE1 0
way/23136868-380,BE1 0
way/23141556-220,BE1 0
way/23151789-380,BE1 0
way/23175771-380,BE1 0
way/24552827-220,BE1 0
way/32002039-380,BE1 0
way/33814632-220,BE1 0
way/495688597-380,BE1 0
way/87529551-380,BE1 0
way/87763325-380,BE1 0
way/87772591-380,BE1 0
way/87772593-380,BE1 0
way/87807194-380,BE1 0
way/88373135-380,BE1 0
way/88799384-220,BE1 0
way/91142310-220,BE1 0
way/91752661-220,BE1 0
way/92007188-220,BE1 0
way/92015823-220,BE1 0
relation/5378910-220,CH1 0
relation/7933294-380,CH1 0
relation/9310861-220,CH1 0
virtual_relation/5610122:1-220,CH1 0
virtual_relation/5610123:0-220,CH1 0
virtual_relation/5645820:1-220,CH1 0
virtual_relation/6031725:0-220,CH1 0
virtual_way/109814042:0-220,CH1 0
virtual_way/109814042:1-220,CH1 0
virtual_way/1178282957:0-220,CH1 0
virtual_way/126304086:1-220,CH1 0
virtual_way/136073350:b:1-220,CH1 0
virtual_way/141333193:0-220,CH1 0
virtual_way/141333193:1-220,CH1 0
virtual_way/141442913:1-220,CH1 0
virtual_way/141442914:0-220,CH1 0
virtual_way/148642941:1-220,CH1 0
virtual_way/163857038:a:1-380,CH1 0
virtual_way/190447888:0-220,CH1 0
virtual_way/194683262:1-220,CH1 0
virtual_way/207876772:0-220,CH1 0
virtual_way/207876772:1-220,CH1 0
virtual_way/207895374:1-380,CH1 0
virtual_way/208404332:b:1-220,CH1 0
virtual_way/208487760:1-380,CH1 0
virtual_way/208560300:1-220,CH1 0
virtual_way/209111683:1-220,CH1 0
